fragment_id,response
GC01_2,"As the Second Ammendment states that we as citizens need guns and gun rights are protected by the Constitution. More gun laws would violate that Constitution and as such, are not needed."
GC01_2,We should not accept gun control laws because the Second Amendment of the US Constitution protects gun ownership.
GC01_2,We should not implement more gun control laws because depriving individuals of guns is a violation of the Second Amendment to the United States Constitution.
GC01_3,"Because the Second Amendment of the US Constitution allows for a ""well regulated militia"", the rights of individuals are not violated by more control laws."
GC01_3,"More gun control laws are admissible as the Second Amendment of the US Constitution states , ""A well regulated militia , being required to the security of a free state, the right of the people to keep and bear arms, shall not be infringed."""
GC01_3,"SInce we should obey the constitution and it says that a well regulated militia is necessary to the security of a free state, however the right of the militia to own guns is protected not people, therefore more gun control laws are acceptable and are not a violation to the constitution."
GC01_3,The second amendment is protecting arms and that the right to own guns is protected. More gun control laws do not violate the above and therefore are acceptable.
GC01_3,"Claims about needing a well regulated militia are not reason enough to not have gun control laws, as the constitution protects the right of the militia but not of the individual."
GC01_3,"We should have more gun control laws as militias have they right to own guns, not individuals, and these laws do not violate the Second Amendment."
GC01_3,The Second Amendment refers to groups only therefore there is no reason for an individual to protest gun control laws.
GC01_3,We should have more gun control laws because gun control laws do not violate the Second Amendment of the Constitution.
GC01_3,"More gun control laws are acceptable, because of the Second Amendment in the US Constitution, which states that, ""A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed."" This means that the right of militias to own guns, not the right of individuals, is protected. More gun control laws do not violate this."
GC01_3,Gun control laws regarding individuals do not violate the constitution
GC01_3,"Restrictive gun laws do not prevent well-regulated militias, as outlined in the US Constitution"
GC01_3,"We can have more gun control laws, because they would not violate the Second Amendment. The second Amendment states, ""A well regulated militia, being necessary to the security of a free state, the right of the people to bear arms, shall not be infringed,"" and this only protects the right of the militia to own guns, not the people."
GC01_3,"More gun control laws are good because it means that the right of militias to own guns, not the right of individuals, is protected."
GC01_3,"We should support gun control laws because they do not violate The Second Amendment of the US Constitution which states, ""A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed."""
GC02_1,A ban on high-capacity magazines is an essential method of preventing mass-shootings.
GC02_1,We should ban high-capacity magazines to prevent mass-shootings.
GC02_1,A high capacity magazine band is needed to prevent  mass shootings
GC02_1,A high-capacity magazine ban is compulsory as a way to prevent mass-shootings which is sensible.
GC02_1,"Since a high-capacity magazine ban is one way to prevent mass shootings, we need to ban high-capacity magazines."
GC02_1,It is important to ban high-capacity magazines in order to minimize the unfortunate occurreces of mass shootings
GC02_1,"One way to prevent mass-shootings, an obvious imperative, is to ban the use of high-capacity magazines.  Therefore, a high-capacity magazine ban is necessary."
GC02_1,Banning high-capacity magazines is important because it would be a way to prevent mass shootings.
GC02_1,A high capacity magazine ban can prevent mass shootings so it is necessary.
GC02_1,A high-capacity magazine ban would prevent mass-shootings.
GC02_1,"A high capacity magazine ban could prevent mass shootings, so this type of ban is necessary."
GC02_1,We need a high-capacity magazine ban in order to prevent mass-shootings.
GC02_1,We should have a ban on high-capacity magazine because it will help prevent mass-shootings.
GC02_1,"Mass shootings have been carried out using high capacity magazines in the shooter's weapons. If we ban high capacity magazines this could prevent mass shootings, as such we need to ban high capacity magazines."
GC02_1,A high capacity magazine ban is good because it helps prevent mass shootings
GC02_1,A high-capacity magazine ban is necessary because it prevents mass-shootings.
GC02_2,"Bans on assault weapons are allowable because they ensure citizens, including hunters, should not own military-grade firearms or firearm accessories."
GC02_2,A ban on assault weapons will affect civilians be restricting their right to bear arms.
GC02_2,"All civilians, even hunters, should never own assault rifles."
GC02_2,"Bans on assault weapons are logical because civilians, including hunters, should not own military-grade firearms or firearm accessories."
GC02_2,"Bans on assault weapons are admissible as civilians, including hunters, ought not to own military-grade firearms or firearm accessories."
GC02_2,"Military-grade firearms and firearm accessories should not be part of the arsenal of normal civilians, not even hunters. Bans on assault weapons espouse this notion.   Such bans are necessary and acceptable."
GC02_2,Assault weapons should be banned because hunters and other civilians should not have access to military-grade firearms.
GC02_2,It's a good idea to ban assault weapons because no civilian should have access to military grade firearms.
GC02_2,Assault weapons should not be owned by civilians.
GC02_2,We should ban assault weapons as they restrict civilians from owning military-grade firearms.
GC02_2,Civilians should not be able to own firearms designed to inflict mass casualties without proving good cause to possess these types of weapons.
GC02_2,Military-grade firearms are assault weapons and unsafe.
GC02_2,"We should ban assault weapons, because they allow civilians military-grade firearms."
GC02_2,"We should have bans on assault weapons, because civilians, including hunters, should not own military-grade firearms or firearm accessories."
GC02_2,"We should ban assault weapons because civilians, including hunters, should not own military-grade firearms or firearm accessories."
GC02_2,"Assault weapons are not needed by anyone, including civilians, hunters especially, thus bans on assault weapons are not a bad idea."
GC02_2,Its accpetable to have a ban on assault weapons because civillians do not need to own them
GC02_2,"We should ban assault weapons because civilians, including hunters, should not own military-grade firearms or firearm accessories."
GC02_3,It is not ok to ban assault weapons because these bans negatively infringe upon the right to own guns for hunting and sport.
GC02_3,Assault weapons should not be banned because such bans infringe upon the right to own guns for hunting and sport.
GC02_3,Assault weapons should not be used for hunting and sport.
GC02_3,Banning assault weapons is an unacceptable infringement on the right to own guns for hunting and sports.
GC02_3,Bans on assault weapons infringe are disagreeable upon the right to own guns for hunting and sport.
GC02_3,"Bans on assault weapons infringe upon the natural and decent right of civilians to own guns for hunting and sport. Therefore, bans on assault weapons are not okay."
GC02_3,We shouldn't ban assault weapons because doing so infringes upon the rights of gun owners.
GC02_3,An assault ban is undesirable for the side ffect of it infringing upon rights to own guns for lesiure activities.
GC02_3,There should be no bans on assault weapons because people have rights to own guns for hunting and sport.
GC02_3,Ban on assault weapons causes an infringement of rights.
GC02_3,"We can't ban assault weapons, because they infringe on rights for hunting and sport."
GC02_3,"We should not have bans on assault weapons, because they infringe upon the right to own guns for hunting and sport."
GC02_3,We should not ban assault weapons because it infringes upon the right to own guns for hunting and sport
GC02_3,Bans on assault weapons infringe upon the rights of Americans to own guns for hunting and sport as such we should not infrige upon citizen's rights.
GC02_3,Bans on assault weapons infringe upon the right to own guns for hunting and sport.
GC02_3,We shouldn't ban assault weapons because that infringes upon the right to own guns for hunting and sport.
GC03_1,Possessing a gun makes a conflict more likely to become violent so we should not possess a gun.
GC03_1,We should not possess a gun because it increases the potential that a conflict will become violent.
GC03_1,Possessing a gun increases violence.
GC03_1,"Possessing a gun escalates the negative possibility that a conflict will erupt into violence. Therefore, as individuals, we should not possess a gun."
GC03_1,We shouldn't own guns because just the fact of gun ownership increases the risk of gun violence.
GC03_1,"People with guns are more likely to be violent, so we should not have guns."
GC03_1,A gun should not be possessed because an undesirables conflict can become violent.
GC03_1,We should not possess a gun because it makes a conflict more likely to become violent.
GC03_1,Possessing a gun increases the chances of a violent conflict.
GC03_1,Guns cause more violence so we should not possess them
GC03_1,Nobody should possess a gun because having a gun in one's possession makes a conflict more likely to become violent.
GC03_1,"We shouldn't possess  a gun, because possessing a gun makes a conflict more likely to become violent."
GC03_1,"Gun possession increases violence during conflict, so we should not possess any guns."
GC03_1,We should not have guns because possessing one makes a conflict more likely to become violent
GC03_1,"Having weapons like guns have been shown to make conflicts more violent, as such we should not possess weapons like guns."
GC03_1,We should not possess a gun because it makes a conflict more likely to become violent.
GC03_2,We should not possess a gun because this has the inadmissible effect of increasing a woman's risk of being murdered.
GC03_2,We should not possess a gun because doing so increases a woman's risk of being murdered.
GC03_2,We ought not to possess a gun as it increases a woman's risk of being murdered which is unsatisfactory.
GC03_2,We should not possess a gun because possessing a gun increases a woman's risk of being murdered.
GC03_2,"Data shows possessing a gun leads to an unwanted increase in the risk of a woman's being murdered.  Therefore, we should not possess a gun."
GC03_2,We shouldn't own guns because gun ownership increases the risk of gun murder.
GC03_2,"Possessing a gun increases a woman's risk of being murdered, so we should not possess a gun."
GC03_2,People should not have guns because it increases the risk of women being murdered.
GC03_2,We should not possess a gun because it increases a woman's risk of being murdered.
GC03_2,Gun possession increases risk of murder to women and should not be allowed.
GC03_2,A woman's chance of being murdered is increased by the possession of a gun.
GC03_2,We should not possess guns because guns increase a women's risk of being murdered.
GC03_2,"We shouldn't possess guns, because they increase a woman's chance of getting murdered."
GC03_2,"We should not possess guns, because that would increase a woman's risk of being murdered."
GC03_2,We should not possess a gun because it increases a woman's risk of being murdered.
GC03_2,In an effort to protect women gun laws must be tightened to protect them.
GC03_2,We should ban guns because they increase a woman's risk of being murdered.
GC03_3,"More gun control laws must be passed because it would prevent the possession of guns, which would prevent the escalation of conflicts into violent action."
GC03_3,Gun control reduced the likelihood of violent conflict.
GC03_3,More gun control laws are mandatory as possession of a gun makes a conflict more likely to become violent which is dispensable.
GC03_3,"Since possessing a gun makes a conflict more likely to be violent, we need more gun control laws to prohibit their possession."
GC03_3,"Further gun control laws act as a stop to possessing a gun, which has been shown to make a conflict more likely to result in the negative result of violence.  Therefore, more gun controls are a necessity."
GC03_3,"Because we don't want conflicts to become more violent, and possessing a gun makes a conflict more likely to become violent, more gun control laws are necessary."
GC03_3,Gun control laws are important because if we restrict how many people own guns we can limit how often guns will be used for violence.
GC03_3,Gun laws help reduce violence.
GC03_3,We should have more gun control laws because we don't want a conflict to become violent.
GC03_3,Gun control can prevent violent encounters
GC03_3,"We need more gun control laws, because possessing a gun is more likely to become violent and more laws prevent that."
GC03_3,We need more gun control laws because they will decrease gun possession and therefore make conflicts less likely to become violent.
GC03_3,We need more gun control laws because possessing a gun makes a conflict more likely to become violent
GC03_3,"It has been shown that having a gun makes the possibility of violence in a conflict greater and since it is not a good thing to make conflicts more violent and gun control laws would prevent people from owning guns, gun control laws are needed."
GC03_3,We need more gun control laws because possessing a gun makes a conflict more likely to become violent.
GC04_1,More gun control laws are intolerable because they infringe upon the right to self-defense.
GC04_1,Gun laws infringe on the right to self-defense.
GC04_1,More gun control laws should not be passed because they infringe upon the right to self-defense.
GC04_1,More gun control laws are intolerable as it infringes upon the right to self-defense which is inappropriate.
GC04_1,"With more gun control laws comes an inevitable infringement upon the individual's right to self-defense, which must be deemed a negative.  Therefor more gun control laws are not okay."
GC04_1,Gun control laws are bad and prevent good people from defending themselves by limiting their use of their rights to defend themselves.
GC04_1,It would be bad to have more gun control laws because too many laws will limit people's right to self-defense.
GC04_1,We don't need more gun control laws because they would infringe upon the right to self-defense.
GC04_1,We shouldn't have more gun control laws because they infringe upon our rights of self defense.
GC04_1,More gun controls laws would cause a lack of self-defense.
GC04_1,"We don't need more gun control laws, because they infringe upon the right to self-defense."
GC04_1,We do not need more gun control laws because they would infringe upon the right to self-defense.
GC04_1,We should not have more gun control laws because they infringe on the right to self-defense
GC04_1,Because infringing upon the right to self defense is wrong and gun control laws infringe upon that right they are not needed.
GC04_1,More gun control laws are unacceptable because they infringe upon the right to self-defense.
GC04_2,Gun owners want guns as a means of self defense so increasing gun control laws will not work for that
GC04_2,The addition of more gun control laws is unacceptable because they limit gun ownership and therefore prohibit the use of guns for self-defense.
GC04_2,More gun control laws will prevent people from defending themselves.
GC04_2,Increased gun control laws prevents people from owning guns needed to defend themselves in dangerous situations.
GC04_2,More gun control laws are intolerable as they prevent gun ownership which enables self defense which is advisable.
GC04_2,"Gun ownership is a means to ensure that citizens can proactively defend themselves,  which is a societal plus. More gun laws act to deter this valuable means of self-defense. Therefore, further gun control laws are not tolerable."
GC04_2,We don't need more gun control laws because they limit our right to self-defense.
GC04_2,Use should not have more gun control laws because gun ownership is a way to self-defense and gun laws prevent this.
GC04_2,Gun control laws prevent gun ownership and the ability to enable self-defense.
GC04_2,Gun control laws prevent self-defense.
GC04_2,Gun control laws prevent self-defense made available by owning a gun
GC04_2,"We should not have more gun control laws, because owning a gun enables self-defense."
GC04_2,"We don't need more gun control laws because more gun control laws prevent gun ownership, a way of self-defense"
GC04_2,"Because gun ownership is a mean to enable self defence and self defence is a right, more gun control laws could prevent gun ownership and that is not needed."
GC04_2,We should not accept more gun control laws because gun ownership is a means to enable self-defense.
GC04_3,"To stop criminals, people need guns to defend themselves. More gun control laws would prevent this which is why those laws should be voted against."
GC04_3,"More gun control laws should not be passed because they prevent gun ownership, which prevents gun owners from practicing self-defense."
GC04_3,More gun control laws prevent self-defense.
GC04_3,Increased gun control will keep law abiding citizens from owning guns and leave them unable to defend themselves from criminals.
GC04_3,More gun control laws are inadmissible as they prevent gun ownership which is a measure of self-defense because  criminals avoid attacking a person who possesses a gun.
GC04_3,We should champion for gun ownership as they enable people to defend themselves from attacks
GC04_3,"More gun laws to prevent gun ownership could cripple the process of gun ownership, which is a useful means of self-defense, as it's known that criminals avoid attacking a person who possesses  a gun.  Therefore more gun control laws are not acceptable"
GC04_3,We don't need more gun control laws because it is more important to enable self-defense than to prevent gun ownership.
GC04_3,"We should not accept more gun control laws, because they prevent gun ownership and gun ownership enables self-defense."
GC04_3,More gun control laws prevents people who need to Stay safe in areas with high crimina activity.
GC04_3,Gun control laws prevent people from possessing a gun for self-defense.
GC04_3,Gun control laws must be reduced.It helps to enabke self-defense because criminals avoid attacking a person who possesses a gun.
GC04_3,"Gun control laws are unacceptable due to three major factors, the fact that gun ownership is a means to enable self-defense because criminals avoid attacking a person who possesses a gun, enabling self-defense is desirable, and that more gun control laws prevent gun ownership."
GC04_3,Gun laws that prevent self-defense use of guns are not acceptable.
GC04_3,"We don't need more gun control laws, because they force you to enable self-defense against someone with a gun."
GC04_3,"We should not have more gun control laws, because they prevent gun ownership, which enables self-defense because criminals avoid attacking a person who possesses a gun."
GC04_3,"We shouldn't have more gun control laws because more gun control laws prevent gun ownership, and gun ownership is used for self-defense because criminals avoid attacking a person who possesses a gun."
GC04_3,Gun ownership is a means for citizens to defend themselves against criminals who would avoid attacking an armed person as gun control laws would prevent more people from defending themselves they are not a good idea.
GC04_3,We should not accept more gun control laws because they prevent gun ownership which enables self-defense.
GC04_4,"Though guns can be used in self-defense, they rarely are, so gun ownership should not be encouraged."
GC04_4,Owning a gun doesn't always make someone able to defend themself.
GC04_4,Gun ownership is inessential as some may claim that it is a measure enabling self-defense which is inaccurate.
GC04_4,"Pundits argue that gun ownership is useful as a means of enabling self-defense, even though statistics show guns are rarely used in self-defense.  One must therefore conclude that gun ownership is not an imperative."
GC04_4,"Though some say we should have guns to defend ourselves, the fact is that guns are rarely used in self-defense and so gun ownership is not a useful right."
GC04_4,"Gun ownership rarely leads to protecting life in self defense, thus it's only other frequent option is to take it."
GC04_4,People shouldn't own guns because they aren't needed in self defense.
GC04_4,The argument that gun ownership enables self-defense is false because guns are rarely used in self-defense.
GC04_4,"We don't gun ownership, because it doesn't enable self-defense."
GC04_4,We should not have gun ownership because they are rarely used as a means of self-defense.
GC04_4,We don't need gun ownership because guns are rarely used in self-defense.
GC04_4,Since guns are rarely used in self defence and there are those that argue that gun ownership enable self defence gun ownership is not needed.
GC04_4,Gun ownership should be restricted because guns are rarely used in self-defense.
GC04_4,Are guns ownership used for self-defense or thry are not necessary?
GC04_4,"Hunting, being the original intention of a gun, is the most common activity practiced by gun owners. The small probability of needing a gun for self defense does not outweigh the cost nor the risk of gun ownership, therefore rendering gun ownership for protection unnecessary."
GC04_4,We should oppose gun ownership because they are rarely used in self-defense.
GC04_5,"The assertion that gun ownership enables self defense is dubious because of the average citizen's lack of training.  Therefore, gun ownership is not imperative."
GC04_5,The average gun owner does not know how to defend themself.
GC04_5,"Although pundits may argue that gun ownership is useful as a means of self-defense, such is questionable as the average gun owner is not trained in law enforcement or on how to handle life-threatening situations.  It can therefore be concluded that gun ownership is not a must."
GC04_5,We don't need to own guns because the average gun owner will not be suitably trained in how to use the gun in dangerous situations.
GC04_5,People don't need to own guns because the owners are usually not trained in law enforcement.
GC04_5,"Although gun ownership allows people to practice self-defense, they are not trained in law enforcement or how to handle life-threatening situation. Therefore, we should not endorse gun ownership."
GC04_5,Gun ownership is not necessary due to the fact it is questionable that the gun owner has been trained law enforcement or self- defense.
GC04_5,Gun ownership is not needed for self-defense since the average gun owner is not trained in law enforcement or on how to handle life-threatening situations.
GC04_5,There should not be gun ownership because the average gun owner is not trained in law enforcement or handling life-threatening situations
GC04_5,"Because most gun owners are not trained by law enforcement or how to deal with life threatening situations, gun ownership is, by and large, not needed."
GC04_5,We should not accept gun ownership because the average gun owner is not trained in law enforcement or how to handle life-threatening situations.
GC05_1,More gun control laws are necessary because more gun control laws have the desirable effect of reducing gun crime?
GC05_1,More gun control laws should be passed because such laws reduce gun crime.
GC05_1,More gun control laws will reduce gun crime.
GC05_1,"In the United States, access to guns is controlled by law under a number of federal statutes. These laws regulate the manufacture, trade, possession, transfer, record keeping, transport, and destruction of firearms, ammunition, and firearms accessories. Gun control law are necessary for crime reduction in the country"
GC05_1,More gun control laws are mandatory to reduce gun crime which is prudent.
GC05_1,"Having more gun control laws leads to the positive effect of reducing overall gun crime. Therefore, more gun control laws are a must."
GC05_1,"If we want to reduce gun crime for all our good, we need to have more gun control laws."
GC05_1,Gun control laws are important because they reduce gun crime.
GC05_1,We need more gun control laws to reduce gun crime.
GC05_1,"More gun control laws, targeting loopholes in gun sales to the wrong people and helping keep guns away from criminals, are necessary to help reduce gun crime."
GC05_1,Gun control laws would be a good thing to reduce gun crime.
GC05_1,We need more gun control laws because we have to reduce gun crime.
GC05_1,We need more gun control laws to help reduce gun crime.
GC05_1,More gun control laws reduce gun crime; therefore more gun control laws are necessary.
GC05_1,More gun control laws should be introduced to reduce gun crime
GC05_1,"Gun laws have been shown to reduce gun crime, as such more gun laws are needed to keep citizens safe."
GC05_1,Gun control laws are helpful because they reduce crime
GC05_1,We need more gun control laws because they reduce gun crime.
GC05_1,More gun control laws are necessary because they reduce crime.
GC05_2,More gun control laws are required because they reduce gun crime as legally owned guns are frequently stolen and used by criminals.
GC05_2,Gun control laws decrease gun crimes as legally owned firearms are often stolen by crimincals.
GC05_2,"More gun control laws should be passed in order to reduce the availability of stolen guns, which are often used by criminals."
GC05_2,We should have gun control laws because guns are often stolen and used by criminals. Reducing access to these guns would also reduce gun crime.
GC05_2,More gun control laws are mandatory to decrease gun crimes brought by reducing the frequent stealing of legally owned guns owned by criminals.
GC05_2,"More gun control laws aid the beneficial result of reducing gun crime, particularly as legally owned guns are frequently stolen and used by criminals. It can therefore be understood that more gun control laws are a requirement."
GC05_2,Good gun control laws keep firearms out of the hands of criminals who would steal them from otherwise lawful gun owners.
GC05_2,legal gun owners frequently have their guns stolen by criminals so we need more gun control laws
GC05_2,We need more gun control laws because they reduce crime.
GC05_2,More gun control laws are needed due to criminals using guns they stole from law abiding citizens.
GC05_2,"By enforcing gun laws, criminals will have a harder time procuring firearms for illict activity."
GC05_2,More gun control laws are necessary because gun crime is reduced and legally owned guns are often stolen.
GC05_2,Extra gun control should be used to reduce stolen guns and criminal activity.
GC05_2,"We need more gun control laws, because they reduce gun crime since legally owned guns are frequently stolen and used by criminals."
GC05_2,We need more gun control laws because legally owned guns are frequently stolen and used by criminals.
GC05_2,"Stricter gun control laws have been shown to reduce gun crime because legally owned guns are frequently stolen and used by criminals, which is another crime to add to the rap sheet, because of this more gun control is needed."
GC05_2,More gun control laws are necessary  hence reduce crime because legally owned guns are frequently stolen and used by criminals.
GC05_2,We need more gun control laws because they reduce gun crime.
GC05_3,More gun control laws are not needed because it is not true that they reduce gun crime as criminals don’t obey the law.
GC05_3,"Although some aver that more gun control laws reduce gun crime, this is untrue because criminals don't obey the law.  Therefore, more gun control laws are not needed."
GC05_3,Some dispute more authority laws decrease gun crime which is inessential as criminals don't abide by the law.
GC05_3,"Though theorists propose more gun control as a way to reduce gun crime, such is not accurate as criminals do not obey the law. Therefore, more gun controls are not needed."
GC05_3,We don't need more gun control laws because criminals don't obey laws anyway.
GC05_3,"Criminals don't obey the law, so gun control laws don't reduce gun crime."
GC05_3,More gun control will not ensure that criminals will obey law.
GC05_3,Increasing gun control is unnecessary due to it's inability to impact how many criminals will own guns.
GC05_3,"We don't need more gun control laws, because criminals won't obey those laws."
GC05_3,"We don't need more gun control laws, because they do not actually reduce gun crime since criminals don't obey the law."
GC05_3,We don't need more gun control laws because criminals don't obey the law
GC05_3,While it is argued that gun control laws reduce crime this isn't true as criminals don't obey the laws to begin with thus making further gun control laws not needed.
GC05_3,more gun control laws arent helpful because criminals dont obey the law
GC05_3,"It is not true that more gun control laws reduce gun crime,criminals don't obey the law."
GC05_3,More gun control laws are unnececessary because don't obey the law.
GC05_4,More gun control laws reduce gun crime because countries with restrictive gun control laws have lower gun homicide and suicide rates than the United States which evidences that the strictness of gun laws correlates with the gun murder rate.
GC05_4,More restrictive gun control laws reduce crime rates in other countries.
GC05_4,More gun control laws should be passed because there is an inverse correlation between restrictive gun control laws and homicide and suicide rates.
GC05_4,More gun authority laws reduces crimes such as low homicide and suicide rates as noticeable in other countries compared to the United States.
GC05_4,More gun control laws lead to a reduction in the rate of crime seeing as countries with more restrictive gun control laws report lower gun homicide and suicide rates compared to the United States
GC05_4,"As evidence that the strictness of gun laws correlates with the gun murder rate, it can be shown that countries with restrictive gun control laws have lower gun homicide and suicide rates than the United States.  The obvious conclusion is that more gun control laws would reduce gun crime."
GC05_4,"Because countries with restrictive gun laws have lower gun homicide and suicide rates, we know that there is a correlation between the strictness of laws and gun death rates, and that gun control laws reduce gun crimes."
GC05_4,We see from other countries with restrictive gun laws and low gun crime rates that gun control reduces gun crime.
GC05_4,More gun control laws have reduced crime in other countries.
GC05_4,"Countries with restrictive gun control laws have lower gun homicide and suicide rates than the United States. This shows strictness of a country's gun laws correlates with the gun murder rate in that country, so more gun control laws reduce gun crime."
GC05_4,More gun control laws reduce gun crime because gun control laws allow for lower gun homicide.
GC05_4,Countries with many gun laws have lower crime so more gun laws reduce crime
GC05_4,"More gun control laws reduce gun crime, because there is a connection between restrictive gun control laws and lower gun homicide and suicide rates."
GC05_4,We know that more gun control laws will reduce gun crime since countries with restrictive gun control laws have lower gun homicide and suicide rates than the United States.
GC05_4,More gun control laws reduce gun crime because countries with restrictive gun control laws have lower gun homicide and suicide rates than the United States.
GC05_4,"Countries with more restrictive gun laws have shown to have lower gun homicide rates and suicide rates. This shows a direct corrilation between gun control and gun deaths, as such we should have stricter gun laws."
GC05_4,We should have more gun control laws because countries with restrictive gun control laws have lower gun homicide and suicide rates than the United States.
GC05_5,More gun laws do not reduce gun murder because most state-level gun control laws do not reduce the firearm death rate.
GC05_5,"Most state-level gun control laws fail to reduce the firearm death rate, so passing more gun control laws will not reduce gun murder."
GC05_5,State level gun control laws do not decrease firearm death rate therefore increased gun laws are not needed
GC05_5,The more gun authority laws does not bring to decrease the firearm death hence no decrease to gun murder.
GC05_5,Gun control laws are impotent in the reduction of firearm death rate as there isn't the slightest indication that more gun control laws reduce gun murder
GC05_5,"For evidence that more gun control laws do not reduce gun murder, one need only look at state-level gun control, which has not shown success at reducing firearm death rates.  The conclusion must be that more gun control laws do not reduce gun murder."
GC05_5,"Gun laws at the state level have never been proven to reduce crimes, so perhaps gun control laws don't work to reduce murder."
GC05_5,Gun control laws don't reduce gun murder because most states have gun control laws and they have not proven to reduce the firearm death rate.
GC05_5,"Because most state-level laws do not reduce the firearm death rate, more gun control laws will not reduce gun murder."
GC05_5,"Most state-level gun control laws do not reduce the firearm death rate, so enacting more gun control laws will do nothing to reduce it."
GC05_5,The firearm death rate is not reduced by gun control laws.
GC05_5,Gun laws so not reduce firearm deaths so more guns laws do not do it
GC05_5,"Gun control laws don't reduce gun murder, because state-level gun control laws do not reduce the firearm death rate."
